AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
39.17,-3.06,91.89,0.79,-13.64,3
3.8,-17.54,108.35,-0.09,-8.94,3
-17.71,-21.38,85.69,-0.11,5.37,3
-16.84,-16.75,24.31,0.0,-2.54,3
7.95,3.75,-56.74,-0.22,5.87,3
35.75,16.33,-84.15,1.14,3.69,3
47.3,41.74,-82.05,0.94,-3.88,3
47.27,44.14,-36.02,-0.93,4.16,3
33.92,32.78,21.67,0.2,14.25,3
4.14,16.46,56.74,0.62,11.6,3
-20.7,5.4,65.41,-0.35,4.24,3
-44.02,10.01,22.67,-0.82,1.29,3
-52.23,10.06,-1.76,-0.66,-0.25,3
-54.6,37.93,-19.74,-0.4,6.82,3
-47.72,41.88,-33.98,-0.53,13.03,3
-35.58,23.89,-7.17,-0.27,19.32,3
-29.58,-8.03,-2.76,-0.35,27.55,3
-27.5,-43.15,17.41,0.2,20.12,3
-29.71,-42.55,29.98,0.2,6.41,3
-27.55,-47.71,22.39,-0.82,4.9,3
-35.6,-23.94,26.31,-0.82,13.69,3
-33.54,-6.77,11.29,-0.74,12.5,3
-13.12,-11.97,15.55,-0.5,6.55,3
20.17,-16.7,9.3,-0.85,3.31,3
38.48,-20.38,-0.94,-1.22,9.35,3
38.7,-8.28,-0.27,-0.66,17.07,3
30.88,-9.35,-9.11,-0.76,39.87,3
11.62,6.24,-7.89,-0.87,61.25,3
-11.07,1.32,-6.36,-1.01,56.78,3
-18.87,-19.6,4.25,-0.47,55.71,3
-8.93,-31.55,16.14,-0.58,24.16,3
0.14,-35.38,24.11,-0.88,-3.32,3
-14.03,-28.29,23.9,-0.77,1.9,3
-14.88,-25.95,12.11,-0.76,21.6,3
-12.26,-18.47,5.51,-0.77,30.66,3
-19.84,-34.9,4.32,-0.91,19.06,3
-26.26,-42.0,6.93,-1.06,17.75,3
-14.86,-50.19,-0.44,-0.9,21.04,3
10.54,-59.57,-0.84,-0.55,17.77,3
36.15,-56.88,-14.06,-0.68,15.39,3
48.87,-64.18,-18.68,-0.88,7.5,3
40.81,-58.49,-12.59,-0.69,4.47,3
24.86,-58.86,-2.22,-0.54,1.76,3
7.85,-51.85,22.08,-1.04,-0.38,3
10.94,-44.57,36.73,-0.62,-0.75,3
18.37,-40.28,40.07,-0.79,2.64,3
22.76,-31.69,25.14,-0.74,6.32,3
17.94,-28.95,-4.21,-0.56,0.15,3
9.62,-14.84,-27.11,-0.8,-8.78,3
0.78,-13.84,-41.62,-0.64,-9.65,3
-10.69,-9.92,-28.89,-0.69,-7.99,3
-21.29,-17.34,1.32,-0.71,-3.76,3
-23.72,-28.07,27.81,-0.85,-0.62,3
