AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
-29.9,-40.27,6.19,-1.54,-12.9,2
-14.94,-36.35,-7.8,1.02,-14.04,2
-3.37,-28.21,-14.85,2.6,-11.34,2
3.42,-23.66,-16.19,3.87,-19.53,2
-2.46,-26.1,-27.27,-3.99,-23.73,2
-22.4,-37.42,-25.36,0.12,-11.13,2
-41.2,-48.37,-24.76,-2.74,-10.93,2
-51.96,-50.5,-10.75,-11.4,-15.23,2
-51.16,-42.29,2.87,-5.66,-13.22,2
-37.33,-30.89,-7.13,-1.97,-12.01,2
-23.29,-21.57,-6.95,-11.31,-14.31,2
-21.99,-16.24,-22.1,-3.45,-12.46,2
-26.96,-18.29,-25.76,-0.19,-11.6,2
-33.57,-20.7,-15.03,0.73,-13.64,2
-44.26,-18.75,-9.9,1.54,-12.6,2
-51.91,-12.78,3.68,1.1,-11.19,2
-49.94,-7.95,-2.67,-1.29,-12.45,2
-41.98,-3.75,-5.39,-3.43,-13.07,2
-33.46,1.3,-19.94,0.64,-11.87,2
-25.85,-0.45,-28.17,-7.79,-11.24,2
-14.93,-4.2,-14.43,-8.21,-11.13,2
-11.36,-6.08,-32.1,1.64,-11.27,2
-15.91,-5.04,-22.43,-8.41,-11.53,2
-21.43,-0.84,-19.47,-2.9,-11.08,2
-21.2,8.67,-25.27,0.72,-8.76,2
-14.87,20.55,-2.66,1.86,-9.31,2
-15.04,24.46,7.46,-1.48,-11.28,2
-13.83,22.45,13.35,-2.71,-9.76,2
-11.25,15.63,4.77,-1.91,-9.84,2
-8.26,6.97,-16.45,-5.35,-11.7,2
-6.87,2.18,-7.34,-0.31,-10.97,2
-0.5,8.39,-19.53,-14.34,-10.63,2
5.04,14.66,-16.78,-12.29,-10.87,2
9.38,18.2,-1.23,-4.41,-10.21,2
9.93,16.06,-11.16,4.85,-10.08,2
16.15,10.38,1.17,-3.42,-10.94,2
24.94,8.77,2.08,-8.38,-10.3,2
27.15,6.01,-5.95,-8.24,-9.75,2
28.25,13.98,14.41,-0.81,-10.04,2
24.06,18.24,0.4,-3.17,-10.02,2
15.21,23.15,8.03,-14.51,-9.56,2
2.05,23.92,8.74,-6.06,-9.49,2
0.62,25.98,-6.05,0.56,-9.4,2
8.79,23.48,11.62,-0.39,-8.94,2
14.93,19.41,9.33,1.42,-8.72,2
14.31,28.56,16.49,-0.46,-8.56,2
11.59,33.73,25.44,-1.37,-8.1,2
9.37,41.28,22.79,-1.76,-7.8,2
9.7,49.27,30.76,-3.06,-7.68,2
14.11,50.68,29.16,-2.15,-7.49,2
16.81,41.09,26.85,-4.75,-6.65,2
17.93,37.15,20.48,-19.03,-4.92,2
17.83,40.58,22.78,-16.76,-1.89,2
21.69,44.64,12.28,-12.84,-3.33,2
25.99,50.45,6.68,-14.66,-6.13,2
30.18,49.25,11.42,-30.89,-6.13,2
30.87,42.57,7.65,-20.21,-5.86,2
28.62,29.34,21.44,-8.93,-5.41,2
26.95,15.54,21.42,-6.3,-5.54,2
25.16,2.49,32.71,-0.59,-5.64,2
20.36,-4.96,35.2,-5.67,-5.21,2
10.0,-10.48,29.69,-2.49,-4.52,2
0.53,-15.83,33.56,-3.76,-3.84,2
1.12,-14.19,6.84,-4.96,-0.77,2
13.78,-18.46,4.34,-0.19,2.93,2
27.27,-18.3,0.14,-17.68,-0.43,2
34.43,-19.91,4.75,0.85,-3.93,2
34.11,-34.57,17.42,-3.67,-3.69,2
17.72,-50.07,24.59,-6.16,-4.08,2
-8.47,-57.15,35.04,3.83,-5.79,2
-22.39,-51.63,21.03,-4.99,-15.4,2
-19.79,-37.4,-1.91,3.35,-14.32,2
-12.67,-16.12,-19.38,-0.04,-15.35,2
-6.28,-6.02,-25.45,-2.11,-16.99,2
3.32,-8.04,-26.99,1.84,-2.34,2
1.04,-19.09,13.92,1.92,-4.66,2
-13.2,-31.0,30.56,-11.54,0.62,2
-20.0,-31.89,10.48,-13.65,4.49,2
-20.7,-26.32,12.53,-14.22,81.71,2
-17.93,-11.88,-28.91,-15.87,94.39,2
-15.31,1.33,-25.71,-8.53,4.64,2
-12.36,8.15,-25.11,-10.11,-13.24,2
-13.52,3.3,-36.07,-9.66,-4.93,2
-19.64,-16.37,-8.39,-12.68,2.47,2
-21.71,-46.07,-12.65,-7.62,-6.87,2
-16.98,-63.68,-10.0,0.12,-2.59,2
-18.64,-59.08,-7.75,0.28,-0.43,2
-25.45,-45.18,-22.98,2.74,-6.53,2
-27.62,-26.32,-11.06,6.67,-3.39,2
-28.95,-15.8,-27.34,-0.62,0.32,2
-31.8,-18.87,-22.07,1.06,-2.6,2
-29.44,-33.06,-11.51,-0.62,-1.04,2
-21.42,-50.1,-23.98,-2.69,-6.71,2
-21.5,-65.83,-7.48,-1.6,-12.25,2
-21.78,-65.49,-3.11,3.96,-2.82,2
-17.21,-55.23,-0.68,4.3,-0.46,2
-14.16,-41.37,7.72,0.34,-0.55,2
-17.96,-29.8,-9.71,2.97,-2.56,2
-18.83,-30.3,-15.91,0.29,-2.82,2
-25.5,-32.69,-27.95,2.76,-3.41,2
-31.94,-38.18,-40.13,3.47,-4.78,2
-34.34,-34.32,-22.51,-2.56,-5.5,2
-19.86,-26.17,-24.48,-5.81,-5.38,2
-0.06,-11.67,-10.52,-7.21,-5.0,2
9.05,1.95,-5.98,-3.85,-5.35,2
10.55,5.34,-17.2,0.02,-5.05,2
0.45,12.35,-5.32,4.52,-4.55,2
-18.04,12.05,-1.86,2.55,-1.97,2
-29.37,18.16,-8.93,0.82,2.38,2
-20.27,26.02,-10.87,2.25,3.7,2
-3.98,33.93,-9.84,0.59,5.71,2
10.01,37.29,-8.91,4.11,4.39,2
23.21,29.93,-1.06,6.95,10.7,2
36.98,23.91,-5.8,0.12,8.26,2
37.81,17.55,-15.17,3.4,-3.93,2
22.29,23.31,-17.96,4.17,-5.82,2
8.99,36.68,-12.27,2.16,-4.71,2
0.76,44.87,18.78,4.88,-3.38,2
-1.17,47.71,11.04,-5.0,-5.62,2
1.21,44.73,10.59,4.76,-1.89,2
16.19,42.28,16.78,3.71,-2.11,2
29.3,37.81,-9.56,-0.45,-3.61,2
27.17,33.19,-5.2,5.38,-2.9,2
22.95,30.87,-6.67,2.5,-4.51,2
14.53,32.91,-8.57,4.82,-1.32,2
-1.02,36.12,19.53,3.3,42.13,2
-13.15,39.48,12.18,1.09,49.27,2
-9.02,41.28,18.1,4.46,2.75,2
2.9,50.45,21.06,3.18,-17.58,2
17.87,56.6,-2.0,1.82,-6.65,2
39.54,56.22,3.66,1.86,5.02,2
53.53,46.78,-2.75,2.58,-0.89,2
45.35,28.22,0.8,3.01,-7.99,2
24.15,21.71,19.24,1.91,-14.36,2
10.88,24.35,21.94,2.66,-0.74,2
1.97,34.73,27.71,2.46,2.3,2
0.76,49.2,23.48,2.12,-3.5,2
16.13,54.98,-6.01,2.64,-9.98,2
36.72,44.36,0.73,1.76,-5.44,2
42.05,30.33,5.72,2.68,-1.03,2
36.13,18.86,11.51,2.3,-0.06,2
27.47,13.19,23.39,1.18,-8.31,2
16.53,17.6,15.64,2.95,-9.12,2
5.24,23.47,19.71,2.72,-0.71,2
1.92,24.79,3.34,1.92,-2.57,2
9.63,20.94,8.03,-5.83,0.95,2
13.69,14.62,13.55,-1.31,-5.14,2
17.64,7.08,18.12,1.26,17.26,2
18.32,5.94,41.23,0.7,40.34,2
14.2,4.66,20.47,1.72,39.5,2
2.57,0.81,24.47,0.65,43.2,2
-12.83,-8.55,10.4,2.53,50.5,2
-19.78,-15.81,-3.29,1.95,30.77,2
-23.37,-20.43,9.46,1.25,13.06,2
-19.82,-21.82,-0.82,1.69,14.77,2
-14.21,-11.64,25.2,1.72,23.05,2
-12.64,-11.86,41.83,1.26,12.93,2
-15.17,-9.71,15.88,1.98,3.13,2
-16.58,-19.63,6.33,1.6,6.63,2
