AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
33.78,12.7,-38.02,0.8,-8.75,4
49.88,28.82,-25.97,1.1,-8.62,4
75.12,55.24,-16.97,0.31,-12.13,4
79.94,62.79,-1.21,0.29,-3.17,4
71.9,70.33,-7.15,0.21,-6.22,4
47.07,76.17,-36.03,-0.14,-15.55,4
30.73,79.33,-59.49,0.36,-10.01,4
25.44,83.44,-71.87,0.62,-6.23,4
27.46,70.36,-34.18,-0.07,-10.89,4
24.4,55.88,-5.12,0.16,-11.84,4
21.9,52.99,35.01,0.63,-8.18,4
-0.96,43.45,38.2,0.29,-11.79,4
-38.8,26.8,0.49,0.9,-13.89,4
-57.62,32.99,-21.37,0.62,-11.2,4
-54.08,8.04,-62.01,0.57,-13.9,4
-36.5,-27.1,-70.89,0.82,-14.96,4
-26.45,-45.81,-66.53,0.54,-11.58,4
-14.92,-68.87,-46.74,0.14,-11.62,4
-7.77,-59.25,-9.24,0.12,-13.24,4
-15.78,-49.15,13.2,-0.79,-11.6,4
-20.48,-30.22,35.86,-0.71,-9.74,4
-14.9,-31.51,23.0,0.04,-8.47,4
8.6,-9.56,1.63,-0.39,-8.44,4
7.53,10.16,-38.93,-0.16,-7.6,4
2.03,0.33,-73.07,0.09,-6.61,4
0.98,13.62,-41.84,1.22,-5.61,4
-13.7,3.88,-1.86,0.47,-5.54,4
-44.4,5.91,61.6,-1.27,-7.37,4
-77.08,-4.0,76.14,1.02,-7.15,4
-106.62,-11.23,26.48,-1.22,-6.57,4
-129.44,4.12,-17.81,3.69,-4.78,4
-139.43,-3.44,-59.2,15.36,-3.32,4
-135.48,4.64,-31.35,0.33,-5.32,4
-123.73,-20.23,4.62,-2.85,-4.4,4
-116.54,-36.11,35.43,2.92,-2.36,4
-100.97,-61.45,40.21,0.14,0.91,4
-79.53,-70.01,9.14,0.99,2.01,4
-55.31,-49.99,-3.88,0.84,1.03,4
-26.05,-37.73,-15.78,-0.85,-0.62,4
8.98,-9.65,20.87,1.69,0.3,4
43.21,-25.96,27.92,3.34,4.0,4
51.33,-48.38,15.72,3.42,8.27,4
29.76,-81.52,19.46,5.28,7.69,4
7.97,-79.33,-25.06,5.62,0.42,4
-26.37,-53.9,-12.34,7.33,-5.5,4
-52.55,-41.06,-13.12,6.92,-5.49,4
-46.19,-16.63,17.38,8.71,-2.64,4
-19.68,-15.41,53.46,13.12,-0.03,4
-6.88,-18.41,37.89,8.87,0.1,4
-0.64,-29.36,64.04,3.88,-4.49,4
-2.33,-28.53,36.27,4.81,-10.84,4
-18.21,-22.78,9.61,4.38,-11.29,4
-47.08,-23.11,-9.2,2.01,-5.13,4
-62.92,-25.7,-42.89,0.28,-1.45,4
-61.57,-23.48,-35.33,5.99,-1.16,4
-45.39,-15.51,-16.62,7.18,-3.58,4
-22.43,-2.83,44.04,2.58,-7.38,4
-2.22,19.85,82.91,0.68,-5.82,4
18.38,26.76,97.51,2.28,-2.34,4
28.24,18.18,89.77,2.99,-3.24,4
36.1,8.32,-4.92,1.9,-4.57,4
27.3,3.08,-48.06,2.04,-4.16,4
32.69,13.52,-55.63,1.92,-5.41,4
37.43,28.92,-27.97,2.77,-5.73,4
36.78,46.61,26.66,3.33,-3.78,4
30.53,44.7,37.67,2.68,-3.82,4
30.42,19.63,41.02,2.7,-5.52,4
39.51,-0.64,-1.23,3.39,-6.15,4
53.25,-12.57,-42.3,3.22,-5.13,4
65.4,-9.13,-53.12,2.93,-2.63,4
69.92,4.2,-63.47,3.11,0.43,4
52.21,32.46,-25.23,3.87,2.18,4
15.6,44.77,0.32,9.62,0.69,4
-3.04,46.6,40.27,17.21,-1.42,4
9.03,47.12,67.53,20.97,-1.59,4
43.28,34.06,55.93,19.2,0.93,4
73.57,34.96,16.6,8.52,4.09,4
84.51,46.01,-16.34,1.3,3.74,4
71.79,55.18,-37.75,1.26,1.11,4
38.69,59.37,-32.53,1.62,0.19,4
16.69,59.65,10.91,1.58,1.04,4
16.57,47.4,45.59,2.11,3.42,4
29.65,32.37,40.22,1.56,5.88,4
50.02,23.92,11.13,1.21,6.31,4
59.77,20.3,-48.81,2.21,3.7,4
61.96,25.84,-76.39,2.06,0.35,4
59.93,47.52,-98.02,1.71,-0.59,4
72.35,74.54,-55.46,1.28,1.39,4
84.21,90.13,1.3,1.46,3.78,4
82.57,97.74,32.97,1.93,5.25,4
63.1,73.44,69.27,1.63,3.91,4
41.02,57.55,45.99,1.12,-0.69,4
26.98,54.26,24.71,2.54,-2.2,4
16.91,54.8,-12.1,0.77,-0.88,4
16.19,65.44,-54.45,2.02,-0.73,4
10.09,61.73,-66.35,-0.91,-0.74,4
-3.43,45.27,-86.83,3.77,-0.43,4
-35.12,21.21,-41.29,3.57,-0.56,4
-57.24,-4.34,5.11,9.57,-1.81,4
-52.99,-16.34,23.98,20.02,-2.58,4
-34.83,-28.09,58.43,69.0,-2.59,4
-6.38,-44.8,25.91,59.23,-2.33,4
4.56,-51.4,-16.54,-38.02,-2.78,4
8.95,-59.04,-52.88,-1.3,-2.99,4
5.19,-75.37,-53.89,10.64,-3.03,4
2.1,-70.32,-10.37,1.01,-3.15,4
0.25,-66.18,-7.95,12.18,-3.97,4
10.07,-55.33,0.83,-3.61,-4.44,4
13.91,-30.9,-28.2,1.9,-3.0,4
-6.57,-27.95,-54.12,13.57,-2.61,4
-35.97,-28.63,-34.72,5.68,-2.38,4
-67.08,-31.69,-8.65,0.36,-3.2,4
